node,degree,clustering_coefficient,degree_group
R_598571781,1,0.0,"(0.641, 36.8]"
R_594233702,1,0.0,"(0.641, 36.8]"
R_132145189,7,0.3333333333333333,"(0.641, 36.8]"
R_79954708,2,1.0,"(0.641, 36.8]"
R_96004375,4,0.0,"(0.641, 36.8]"
R_691576972,1,0.0,"(0.641, 36.8]"
R_587943248,1,0.0,"(0.641, 36.8]"
R_579303566,1,0.0,"(0.641, 36.8]"
R_11125589,2,0.0,"(0.641, 36.8]"
R_191461487,1,0.0,"(0.641, 36.8]"
R_84596297,1,0.0,"(0.641, 36.8]"
R_222960238,1,0.0,"(0.641, 36.8]"
R_24385451,1,0.0,"(0.641, 36.8]"
R_8397993,2,1.0,"(0.641, 36.8]"
R_19608522,6,0.3333333333333333,"(0.641, 36.8]"
R_3370128,9,0.05555555555555555,"(0.641, 36.8]"
R_991475,2,1.0,"(0.641, 36.8]"
R_54502204,1,0.0,"(0.641, 36.8]"
R_96237042,5,0.4,"(0.641, 36.8]"
R_423907006,2,1.0,"(0.641, 36.8]"
R_53954979,2,1.0,"(0.641, 36.8]"
R_317655208,1,0.0,"(0.641, 36.8]"
R_2651432,4,0.6666666666666666,"(0.641, 36.8]"
R_275084371,1,0.0,"(0.641, 36.8]"
R_4407129,10,0.06666666666666667,"(0.641, 36.8]"
R_385694529,1,0.0,"(0.641, 36.8]"
R_294223530,1,0.0,"(0.641, 36.8]"
R_294224347,1,0.0,"(0.641, 36.8]"
R_249722766,1,0.0,"(0.641, 36.8]"
R_593688846,1,0.0,"(0.641, 36.8]"
R_493035916,1,0.0,"(0.641, 36.8]"
R_645378455,1,0.0,"(0.641, 36.8]"
R_248868816,1,0.0,"(0.641, 36.8]"
R_4164482,3,0.0,"(0.641, 36.8]"
R_102268227,1,0.0,"(0.641, 36.8]"
R_408656417,1,0.0,"(0.641, 36.8]"
R_642457312,1,0.0,"(0.641, 36.8]"
R_187943341,4,0.16666666666666666,"(0.641, 36.8]"
R_94883751,1,0.0,"(0.641, 36.8]"
R_31228039,1,0.0,"(0.641, 36.8]"
R_275647768,1,0.0,"(0.641, 36.8]"
R_207618995,1,0.0,"(0.641, 36.8]"
R_27729880,11,0.16363636363636364,"(0.641, 36.8]"
R_184463891,7,0.047619047619047616,"(0.641, 36.8]"
R_187086161,6,0.26666666666666666,"(0.641, 36.8]"
R_56550961,2,0.0,"(0.641, 36.8]"
R_167666671,1,0.0,"(0.641, 36.8]"
R_715798276,1,0.0,"(0.641, 36.8]"
R_715728010,1,0.0,"(0.641, 36.8]"
R_26289803,1,0.0,"(0.641, 36.8]"
R_177727591,6,0.13333333333333333,"(0.641, 36.8]"
R_96570421,2,1.0,"(0.641, 36.8]"
R_81387692,1,0.0,"(0.641, 36.8]"
R_63375710,2,1.0,"(0.641, 36.8]"
R_164267980,1,0.0,"(0.641, 36.8]"
R_346109201,1,0.0,"(0.641, 36.8]"
R_75918965,1,0.0,"(0.641, 36.8]"
R_347277349,2,0.0,"(0.641, 36.8]"
R_385693693,1,0.0,"(0.641, 36.8]"
R_445569784,1,0.0,"(0.641, 36.8]"
R_176278485,8,0.03571428571428571,"(0.641, 36.8]"
R_50629145,1,0.0,"(0.641, 36.8]"
R_271140688,1,0.0,"(0.641, 36.8]"
R_94003494,1,0.0,"(0.641, 36.8]"
R_91074692,3,0.3333333333333333,"(0.641, 36.8]"
R_488299528,1,0.0,"(0.641, 36.8]"
R_203259544,1,0.0,"(0.641, 36.8]"
R_174522026,1,0.0,"(0.641, 36.8]"
R_187694683,1,0.0,"(0.641, 36.8]"
R_228868155,1,0.0,"(0.641, 36.8]"
R_190416463,24,0.050724637681159424,"(0.641, 36.8]"
R_69170505,1,0.0,"(0.641, 36.8]"
R_63925755,1,0.0,"(0.641, 36.8]"
R_20929025,4,0.0,"(0.641, 36.8]"
R_77703394,1,0.0,"(0.641, 36.8]"
R_27522271,27,0.06267806267806268,"(0.641, 36.8]"
R_45226685,5,0.3,"(0.641, 36.8]"
R_192366753,1,0.0,"(0.641, 36.8]"
R_172104891,2,0.0,"(0.641, 36.8]"
R_55906763,1,0.0,"(0.641, 36.8]"
R_178576091,4,0.5,"(0.641, 36.8]"
R_480668717,1,0.0,"(0.641, 36.8]"
R_261141187,1,0.0,"(0.641, 36.8]"
R_560621227,1,0.0,"(0.641, 36.8]"
R_121898717,1,0.0,"(0.641, 36.8]"
R_43441403,2,1.0,"(0.641, 36.8]"
R_394754122,1,0.0,"(0.641, 36.8]"
R_242765280,1,0.0,"(0.641, 36.8]"
R_111364256,1,0.0,"(0.641, 36.8]"
R_159271175,5,0.0,"(0.641, 36.8]"
R_18906266,2,0.0,"(0.641, 36.8]"
R_39816691,1,0.0,"(0.641, 36.8]"
R_408996775,1,0.0,"(0.641, 36.8]"
R_449438333,1,0.0,"(0.641, 36.8]"
R_39874513,2,1.0,"(0.641, 36.8]"
R_642140097,1,0.0,"(0.641, 36.8]"
R_40620773,1,0.0,"(0.641, 36.8]"
R_297728481,1,0.0,"(0.641, 36.8]"
R_11225014,233,0.003107888116027823,"(215.8, 251.6]"
R_90793418,1,0.0,"(0.641, 36.8]"
R_156018,110,0.0035029190992493745,"(108.4, 144.2]"
R_11208890,3,0.3333333333333333,"(0.641, 36.8]"
R_483146498,1,0.0,"(0.641, 36.8]"
R_288082909,1,0.0,"(0.641, 36.8]"
R_40355094,1,0.0,"(0.641, 36.8]"
R_206130163,1,0.0,"(0.641, 36.8]"
R_15062869,1,0.0,"(0.641, 36.8]"
R_339348284,1,0.0,"(0.641, 36.8]"
R_28352089,6,0.26666666666666666,"(0.641, 36.8]"
R_9524057,3,0.3333333333333333,"(0.641, 36.8]"
R_252604066,1,0.0,"(0.641, 36.8]"
R_11481074,2,0.0,"(0.641, 36.8]"
R_11031412,1,0.0,"(0.641, 36.8]"
R_106698888,1,0.0,"(0.641, 36.8]"
R_115316912,1,0.0,"(0.641, 36.8]"
R_30383208,1,0.0,"(0.641, 36.8]"
R_618492,2,0.0,"(0.641, 36.8]"
R_497022402,1,0.0,"(0.641, 36.8]"
R_23727431,1,0.0,"(0.641, 36.8]"
R_562557612,1,0.0,"(0.641, 36.8]"
R_93948485,1,0.0,"(0.641, 36.8]"
R_175910132,1,0.0,"(0.641, 36.8]"
R_46998787,1,0.0,"(0.641, 36.8]"
R_62895080,1,0.0,"(0.641, 36.8]"
R_86103984,1,0.0,"(0.641, 36.8]"
R_176172924,1,0.0,"(0.641, 36.8]"
R_27522247,2,0.0,"(0.641, 36.8]"
R_19953044,3,0.0,"(0.641, 36.8]"
R_52736898,1,0.0,"(0.641, 36.8]"
R_491653777,1,0.0,"(0.641, 36.8]"
R_27929056,1,0.0,"(0.641, 36.8]"
R_22938893,3,0.0,"(0.641, 36.8]"
R_197176365,5,0.0,"(0.641, 36.8]"
R_49111463,1,0.0,"(0.641, 36.8]"
R_394028369,2,1.0,"(0.641, 36.8]"
R_54173593,1,0.0,"(0.641, 36.8]"
R_162864176,1,0.0,"(0.641, 36.8]"
R_422379561,1,0.0,"(0.641, 36.8]"
R_101107622,1,0.0,"(0.641, 36.8]"
R_50565430,2,0.0,"(0.641, 36.8]"
R_20580498,11,0.12727272727272726,"(0.641, 36.8]"
R_227460322,1,0.0,"(0.641, 36.8]"
R_58707550,5,0.3,"(0.641, 36.8]"
R_680247452,4,0.16666666666666666,"(0.641, 36.8]"
R_700539288,1,0.0,"(0.641, 36.8]"
R_232160635,1,0.0,"(0.641, 36.8]"
R_1625986,3,0.3333333333333333,"(0.641, 36.8]"
R_151455245,1,0.0,"(0.641, 36.8]"
R_246133980,1,0.0,"(0.641, 36.8]"
R_147740437,1,0.0,"(0.641, 36.8]"
R_13855476,2,0.0,"(0.641, 36.8]"
R_60188025,2,1.0,"(0.641, 36.8]"
R_198711527,1,0.0,"(0.641, 36.8]"
R_395893003,1,0.0,"(0.641, 36.8]"
R_331456036,1,0.0,"(0.641, 36.8]"
R_63652864,1,0.0,"(0.641, 36.8]"
R_32873313,4,0.16666666666666666,"(0.641, 36.8]"
R_422821402,100,0.0024242424242424242,"(72.6, 108.4]"
R_359952601,14,0.0989010989010989,"(0.641, 36.8]"
R_47203045,1,0.0,"(0.641, 36.8]"
R_247587757,1,0.0,"(0.641, 36.8]"
R_6247705,10,0.17777777777777778,"(0.641, 36.8]"
R_44733039,1,0.0,"(0.641, 36.8]"
R_8385515,1,0.0,"(0.641, 36.8]"
R_374846113,1,0.0,"(0.641, 36.8]"
R_210909024,1,0.0,"(0.641, 36.8]"
R_242581770,1,0.0,"(0.641, 36.8]"
R_9433979,2,0.0,"(0.641, 36.8]"
R_191655189,1,0.0,"(0.641, 36.8]"
R_51905353,28,0.12698412698412698,"(0.641, 36.8]"
R_479517597,1,0.0,"(0.641, 36.8]"
R_193929371,1,0.0,"(0.641, 36.8]"
R_112655189,2,1.0,"(0.641, 36.8]"
R_3698588,5,0.2,"(0.641, 36.8]"
R_60805080,1,0.0,"(0.641, 36.8]"
R_274116286,1,0.0,"(0.641, 36.8]"
R_33881440,1,0.0,"(0.641, 36.8]"
R_518574859,2,0.0,"(0.641, 36.8]"
R_80430781,1,0.0,"(0.641, 36.8]"
R_162484658,1,0.0,"(0.641, 36.8]"
R_158403775,1,0.0,"(0.641, 36.8]"
R_27522295,13,0.0641025641025641,"(0.641, 36.8]"
R_162725910,1,0.0,"(0.641, 36.8]"
R_22479136,1,0.0,"(0.641, 36.8]"
R_439055966,1,0.0,"(0.641, 36.8]"
R_79371642,1,0.0,"(0.641, 36.8]"
R_45446294,3,0.6666666666666666,"(0.641, 36.8]"
R_4192593,1,0.0,"(0.641, 36.8]"
R_32238354,2,0.0,"(0.641, 36.8]"
R_76986795,1,0.0,"(0.641, 36.8]"
R_65798922,1,0.0,"(0.641, 36.8]"
R_135798749,1,0.0,"(0.641, 36.8]"
R_147963112,2,0.0,"(0.641, 36.8]"
R_66403568,1,0.0,"(0.641, 36.8]"
R_368565094,1,0.0,"(0.641, 36.8]"
R_2325298,8,0.21428571428571427,"(0.641, 36.8]"
R_438391791,1,0.0,"(0.641, 36.8]"
R_46598496,1,0.0,"(0.641, 36.8]"
R_20675635,11,0.32727272727272727,"(0.641, 36.8]"
R_313731577,1,0.0,"(0.641, 36.8]"
R_41986369,145,0.008141762452107279,"(144.2, 180.0]"
R_53311716,3,0.3333333333333333,"(0.641, 36.8]"
R_304537599,2,1.0,"(0.641, 36.8]"
R_159907380,2,1.0,"(0.641, 36.8]"
R_218006898,1,0.0,"(0.641, 36.8]"
R_339993533,1,0.0,"(0.641, 36.8]"
R_23357588,21,0.0761904761904762,"(0.641, 36.8]"
R_6503675,3,0.3333333333333333,"(0.641, 36.8]"
R_46394186,2,0.0,"(0.641, 36.8]"
R_18765044,5,0.3,"(0.641, 36.8]"
R_27146054,6,0.13333333333333333,"(0.641, 36.8]"
R_27522282,13,0.0641025641025641,"(0.641, 36.8]"
R_167499157,3,0.3333333333333333,"(0.641, 36.8]"
R_72486161,1,0.0,"(0.641, 36.8]"
R_167926123,1,0.0,"(0.641, 36.8]"
R_673545053,1,0.0,"(0.641, 36.8]"
R_48833910,71,0.01851106639839034,"(36.8, 72.6]"
R_677206856,1,0.0,"(0.641, 36.8]"
R_542413372,1,0.0,"(0.641, 36.8]"
R_422455952,1,0.0,"(0.641, 36.8]"
R_63995402,2,1.0,"(0.641, 36.8]"
R_201455508,2,1.0,"(0.641, 36.8]"
R_53628424,2,1.0,"(0.641, 36.8]"
R_249188235,1,0.0,"(0.641, 36.8]"
R_136926865,1,0.0,"(0.641, 36.8]"
R_377755619,1,0.0,"(0.641, 36.8]"
R_143867478,2,1.0,"(0.641, 36.8]"
R_24494032,21,0.047619047619047616,"(0.641, 36.8]"
R_694825173,1,0.0,"(0.641, 36.8]"
R_37510432,1,0.0,"(0.641, 36.8]"
R_6838921,188,0.006656047331892138,"(180.0, 215.8]"
R_100982449,1,0.0,"(0.641, 36.8]"
R_39468142,7,0.19047619047619047,"(0.641, 36.8]"
R_64188788,1,0.0,"(0.641, 36.8]"
R_226354201,1,0.0,"(0.641, 36.8]"
R_111641659,1,0.0,"(0.641, 36.8]"
R_145156191,2,1.0,"(0.641, 36.8]"
R_204888772,1,0.0,"(0.641, 36.8]"
R_351353365,1,0.0,"(0.641, 36.8]"
R_52034309,6,0.06666666666666667,"(0.641, 36.8]"
R_27522241,19,0.04678362573099415,"(0.641, 36.8]"
R_153882884,1,0.0,"(0.641, 36.8]"
R_177210627,4,0.0,"(0.641, 36.8]"
R_215231163,1,0.0,"(0.641, 36.8]"
R_679647890,1,0.0,"(0.641, 36.8]"
R_415771369,1,0.0,"(0.641, 36.8]"
R_63809205,7,0.0,"(0.641, 36.8]"
R_20773773,2,0.0,"(0.641, 36.8]"
R_69400326,1,0.0,"(0.641, 36.8]"
R_315538318,2,1.0,"(0.641, 36.8]"
R_305581149,1,0.0,"(0.641, 36.8]"
R_4569051,1,0.0,"(0.641, 36.8]"
R_587622851,1,0.0,"(0.641, 36.8]"
R_287193461,1,0.0,"(0.641, 36.8]"
R_53292445,2,1.0,"(0.641, 36.8]"
R_63065396,1,0.0,"(0.641, 36.8]"
R_86749899,1,0.0,"(0.641, 36.8]"
R_230847070,1,0.0,"(0.641, 36.8]"
R_241903378,1,0.0,"(0.641, 36.8]"
R_406999479,1,0.0,"(0.641, 36.8]"
R_31806094,1,0.0,"(0.641, 36.8]"
R_41632796,2,0.0,"(0.641, 36.8]"
R_511745739,1,0.0,"(0.641, 36.8]"
R_7083242,4,0.0,"(0.641, 36.8]"
R_133238084,1,0.0,"(0.641, 36.8]"
R_41986662,1,0.0,"(0.641, 36.8]"
R_669168604,1,0.0,"(0.641, 36.8]"
R_157008425,1,0.0,"(0.641, 36.8]"
R_165957180,1,0.0,"(0.641, 36.8]"
R_363920445,1,0.0,"(0.641, 36.8]"
R_362529558,1,0.0,"(0.641, 36.8]"
R_183365721,1,0.0,"(0.641, 36.8]"
R_67385952,1,0.0,"(0.641, 36.8]"
R_54172699,1,0.0,"(0.641, 36.8]"
R_64638071,1,0.0,"(0.641, 36.8]"
R_194829679,1,0.0,"(0.641, 36.8]"
R_206444,57,0.03759398496240601,"(36.8, 72.6]"
R_186022916,3,0.0,"(0.641, 36.8]"
R_118105436,2,1.0,"(0.641, 36.8]"
R_57333709,2,0.0,"(0.641, 36.8]"
R_88956492,2,1.0,"(0.641, 36.8]"
R_393094567,1,0.0,"(0.641, 36.8]"
R_144092408,1,0.0,"(0.641, 36.8]"
R_63082527,1,0.0,"(0.641, 36.8]"
R_55185530,3,0.0,"(0.641, 36.8]"
R_150954997,119,0.01167924797037459,"(108.4, 144.2]"
R_445431783,1,0.0,"(0.641, 36.8]"
R_398164186,2,1.0,"(0.641, 36.8]"
R_727547054,1,0.0,"(0.641, 36.8]"
R_729031460,1,0.0,"(0.641, 36.8]"
R_635979215,2,0.0,"(0.641, 36.8]"
R_653525888,1,0.0,"(0.641, 36.8]"
R_157310998,2,1.0,"(0.641, 36.8]"
R_47409672,1,0.0,"(0.641, 36.8]"
R_40395126,2,0.0,"(0.641, 36.8]"
R_54378638,1,0.0,"(0.641, 36.8]"
R_155136567,1,0.0,"(0.641, 36.8]"
R_167317243,1,0.0,"(0.641, 36.8]"
R_109330128,2,1.0,"(0.641, 36.8]"
R_90336564,1,0.0,"(0.641, 36.8]"
R_583248438,1,0.0,"(0.641, 36.8]"
R_170366344,3,0.3333333333333333,"(0.641, 36.8]"
R_110772190,1,0.0,"(0.641, 36.8]"
R_443730909,1,0.0,"(0.641, 36.8]"
R_59526988,2,0.0,"(0.641, 36.8]"
R_73823302,1,0.0,"(0.641, 36.8]"
R_37326770,8,0.17857142857142858,"(0.641, 36.8]"
R_31792824,10,0.1111111111111111,"(0.641, 36.8]"
R_370644553,1,0.0,"(0.641, 36.8]"
R_242202166,8,0.10714285714285714,"(0.641, 36.8]"
R_557075997,1,0.0,"(0.641, 36.8]"
R_45516769,1,0.0,"(0.641, 36.8]"
R_65214191,2,0.0,"(0.641, 36.8]"
R_554147910,1,0.0,"(0.641, 36.8]"
R_317755107,1,0.0,"(0.641, 36.8]"
R_3678731,10,0.022222222222222223,"(0.641, 36.8]"
R_151760169,1,0.0,"(0.641, 36.8]"
R_6934395,66,0.020046620046620046,"(36.8, 72.6]"
R_476548123,1,0.0,"(0.641, 36.8]"
R_67006105,3,0.0,"(0.641, 36.8]"
R_26290249,1,0.0,"(0.641, 36.8]"
R_334274271,307,0.0016393093610951438,"(287.4, 323.2]"
R_341631350,95,0.008734602463605823,"(72.6, 108.4]"
R_375543829,1,0.0,"(0.641, 36.8]"
R_148253885,1,0.0,"(0.641, 36.8]"
R_340449391,1,0.0,"(0.641, 36.8]"
R_487074429,1,0.0,"(0.641, 36.8]"
R_168736310,1,0.0,"(0.641, 36.8]"
R_66030306,2,0.0,"(0.641, 36.8]"
R_16287235,1,0.0,"(0.641, 36.8]"
R_32538871,9,0.1111111111111111,"(0.641, 36.8]"
R_2928948,5,0.4,"(0.641, 36.8]"
R_2544305,7,0.047619047619047616,"(0.641, 36.8]"
R_68291529,1,0.0,"(0.641, 36.8]"
R_203461509,2,1.0,"(0.641, 36.8]"
R_335342,4,0.5,"(0.641, 36.8]"
R_1680733,5,0.0,"(0.641, 36.8]"
R_354090893,3,0.3333333333333333,"(0.641, 36.8]"
R_541611463,1,0.0,"(0.641, 36.8]"
R_364003912,1,0.0,"(0.641, 36.8]"
R_540262346,1,0.0,"(0.641, 36.8]"
R_355032495,1,0.0,"(0.641, 36.8]"
R_506746332,1,0.0,"(0.641, 36.8]"
R_354094562,1,0.0,"(0.641, 36.8]"
R_38973038,3,1.0,"(0.641, 36.8]"
R_196414933,6,0.3333333333333333,"(0.641, 36.8]"
R_421704236,1,0.0,"(0.641, 36.8]"
R_88962042,3,0.0,"(0.641, 36.8]"
R_357723952,1,0.0,"(0.641, 36.8]"
R_5174103,5,0.3,"(0.641, 36.8]"
R_373315216,2,1.0,"(0.641, 36.8]"
R_507775,157,0.0067777233382328925,"(144.2, 180.0]"
R_172750723,4,0.16666666666666666,"(0.641, 36.8]"
R_363341351,1,0.0,"(0.641, 36.8]"
R_22374529,1,0.0,"(0.641, 36.8]"
R_355030559,1,0.0,"(0.641, 36.8]"
R_354129853,1,0.0,"(0.641, 36.8]"
R_354125784,1,0.0,"(0.641, 36.8]"
R_490557661,1,0.0,"(0.641, 36.8]"
R_354136133,1,0.0,"(0.641, 36.8]"
R_355015152,1,0.0,"(0.641, 36.8]"
R_354126484,1,0.0,"(0.641, 36.8]"
R_355027797,1,0.0,"(0.641, 36.8]"
R_355033263,1,0.0,"(0.641, 36.8]"
R_362220956,1,0.0,"(0.641, 36.8]"
R_575177379,1,0.0,"(0.641, 36.8]"
R_430286090,1,0.0,"(0.641, 36.8]"
R_68731208,1,0.0,"(0.641, 36.8]"
R_49442815,2,0.0,"(0.641, 36.8]"
R_590659968,1,0.0,"(0.641, 36.8]"
R_404144554,1,0.0,"(0.641, 36.8]"
R_621803253,1,0.0,"(0.641, 36.8]"
R_599320067,1,0.0,"(0.641, 36.8]"
R_5099453,2,0.0,"(0.641, 36.8]"
R_452337765,2,0.0,"(0.641, 36.8]"
R_26002040,2,0.0,"(0.641, 36.8]"
R_73967674,1,0.0,"(0.641, 36.8]"
R_18192493,2,0.0,"(0.641, 36.8]"
R_149121954,11,0.2545454545454545,"(0.641, 36.8]"
R_440385562,1,0.0,"(0.641, 36.8]"
R_607546570,1,0.0,"(0.641, 36.8]"
R_354080507,1,0.0,"(0.641, 36.8]"
R_355035157,1,0.0,"(0.641, 36.8]"
R_323830219,2,1.0,"(0.641, 36.8]"
R_383875967,1,0.0,"(0.641, 36.8]"
R_354123935,1,0.0,"(0.641, 36.8]"
R_457577836,1,0.0,"(0.641, 36.8]"
R_464684932,1,0.0,"(0.641, 36.8]"
R_334274317,1,0.0,"(0.641, 36.8]"
R_506753204,1,0.0,"(0.641, 36.8]"
R_543781937,1,0.0,"(0.641, 36.8]"
R_359965651,1,0.0,"(0.641, 36.8]"
R_364534653,1,0.0,"(0.641, 36.8]"
R_429180442,1,0.0,"(0.641, 36.8]"
R_388880322,1,0.0,"(0.641, 36.8]"
R_373307571,1,0.0,"(0.641, 36.8]"
R_458283258,1,0.0,"(0.641, 36.8]"
R_364195857,1,0.0,"(0.641, 36.8]"
R_305438763,3,0.0,"(0.641, 36.8]"
R_627172485,1,0.0,"(0.641, 36.8]"
R_637928904,1,0.0,"(0.641, 36.8]"
R_27500243,1,0.0,"(0.641, 36.8]"
R_688586835,1,0.0,"(0.641, 36.8]"
R_34691715,1,0.0,"(0.641, 36.8]"
R_513195031,1,0.0,"(0.641, 36.8]"
R_6065067,1,0.0,"(0.641, 36.8]"
R_580396880,1,0.0,"(0.641, 36.8]"
R_10746583,6,0.26666666666666666,"(0.641, 36.8]"
R_392918204,1,0.0,"(0.641, 36.8]"
R_263991304,3,0.0,"(0.641, 36.8]"
R_5695907,20,0.05263157894736842,"(0.641, 36.8]"
R_220391287,4,0.0,"(0.641, 36.8]"
R_28992330,3,0.0,"(0.641, 36.8]"
R_645237,1,0.0,"(0.641, 36.8]"
R_17812502,4,0.0,"(0.641, 36.8]"
R_11225909,3,0.0,"(0.641, 36.8]"
R_27954927,7,0.047619047619047616,"(0.641, 36.8]"
R_17224514,6,0.0,"(0.641, 36.8]"
R_242776849,1,0.0,"(0.641, 36.8]"
R_440582814,1,0.0,"(0.641, 36.8]"
R_368395082,1,0.0,"(0.641, 36.8]"
R_437944910,1,0.0,"(0.641, 36.8]"
R_530449130,1,0.0,"(0.641, 36.8]"
R_623962571,1,0.0,"(0.641, 36.8]"
R_374876908,1,0.0,"(0.641, 36.8]"
R_376951839,2,0.0,"(0.641, 36.8]"
R_1397974,1,0.0,"(0.641, 36.8]"
R_49324039,1,0.0,"(0.641, 36.8]"
R_365818754,1,0.0,"(0.641, 36.8]"
R_31339163,4,0.16666666666666666,"(0.641, 36.8]"
R_17372733,2,0.0,"(0.641, 36.8]"
R_463750547,1,0.0,"(0.641, 36.8]"
R_441206783,1,0.0,"(0.641, 36.8]"
R_438096425,1,0.0,"(0.641, 36.8]"
R_387876243,1,0.0,"(0.641, 36.8]"
R_440289940,1,0.0,"(0.641, 36.8]"
R_172155554,1,0.0,"(0.641, 36.8]"
R_376093508,1,0.0,"(0.641, 36.8]"
R_408582115,1,0.0,"(0.641, 36.8]"
R_497173054,1,0.0,"(0.641, 36.8]"
R_223708643,1,0.0,"(0.641, 36.8]"
R_53990057,1,0.0,"(0.641, 36.8]"
R_678615763,1,0.0,"(0.641, 36.8]"
R_488455975,1,0.0,"(0.641, 36.8]"
R_724712,25,0.12333333333333334,"(0.641, 36.8]"
R_567524986,1,0.0,"(0.641, 36.8]"
R_451511457,1,0.0,"(0.641, 36.8]"
R_319701508,1,0.0,"(0.641, 36.8]"
R_15807269,1,0.0,"(0.641, 36.8]"
R_10394615,1,0.0,"(0.641, 36.8]"
R_206483,5,0.3,"(0.641, 36.8]"
R_9156682,2,1.0,"(0.641, 36.8]"
R_3037907,10,0.08888888888888889,"(0.641, 36.8]"
R_388884666,1,0.0,"(0.641, 36.8]"
R_89026103,1,0.0,"(0.641, 36.8]"
R_714809540,2,1.0,"(0.641, 36.8]"
R_706110337,1,0.0,"(0.641, 36.8]"
R_677153316,1,0.0,"(0.641, 36.8]"
R_155368246,2,1.0,"(0.641, 36.8]"
R_364712598,1,0.0,"(0.641, 36.8]"
R_302322,4,0.5,"(0.641, 36.8]"
R_580867522,1,0.0,"(0.641, 36.8]"
R_226668025,1,0.0,"(0.641, 36.8]"
R_9384267,2,1.0,"(0.641, 36.8]"
R_81598961,15,0.11428571428571428,"(0.641, 36.8]"
R_45717250,1,0.0,"(0.641, 36.8]"
R_484214803,1,0.0,"(0.641, 36.8]"
R_474202076,1,0.0,"(0.641, 36.8]"
R_366186609,1,0.0,"(0.641, 36.8]"
R_667517207,1,0.0,"(0.641, 36.8]"
R_543218317,1,0.0,"(0.641, 36.8]"
R_445557289,1,0.0,"(0.641, 36.8]"
R_523981741,1,0.0,"(0.641, 36.8]"
R_17165658,310,0.003925253157949681,"(287.4, 323.2]"
R_50229487,4,0.5,"(0.641, 36.8]"
R_206402,4,0.3333333333333333,"(0.641, 36.8]"
R_373697868,1,0.0,"(0.641, 36.8]"
